chapter_number,word,count
1,rabbithol,3
1,alic,28
1,begin,2
1,get,10
1,tire,2
1,sit,1
1,sister,2
1,bank,1
1,noth,7
1,twice,1
1,peep,1
1,book,3
1,read,2
1,pictur,3
1,convers,2
1,use,5
1,thought,8
1,without,2
1,consid,2
1,mind,2
1,well,7
1,could,8
1,hot,2
1,day,1
1,made,2
1,feel,3
1,sleepi,2
1,stupid,2
1,whether,2
1,pleasur,1
1,make,5
1,daisychain,1
1,would,6
1,worth,1
1,troubl,1
1,pick,1
1,daisi,1
1,sudden,5
1,white,2
1,rabbit,6
1,pink,1
1,eye,3
1,ran,2
1,close,2
1,_very_,4
1,remark,1
1,think,11
1,much,6
1,way,11
1,hear,2
1,say,8
1,oh,4
1,dear,3
1,shall,5
1,late,3
1,afterward,1
1,occur,1
1,ought,1
1,wonder,8
1,time,8
1,seem,4
1,quit,4
1,natur,1
1,actual,1
1,_took,1
1,watch,2
1,waistcoatpocket_,1
1,look,7
1,hurri,3
1,start,1
1,feet,2
1,flash,1
1,across,2
1,never,4
1,seen,3
1,either,6
1,waistcoatpocket,1
1,take,1
1,burn,2
1,curios,1
1,field,1
1,fortun,1
1,see,10
1,pop,1
1,larg,3
1,hedg,1
1,anoth,3
1,moment,4
1,went,7
1,world,1
1,straight,1
1,like,12
1,tunnel,1
1,dip,1
1,stop,1
1,found,7
1,fall,6
1,deep,2
1,fell,4
1,slowli,1
1,plenti,1
1,go,8
1,happen,6
1,next,1
1,first,4
1,tri,8
1,come,4
1,dark,3
1,anyth,2
1,side,2
1,notic,2
1,fill,1
1,cupboard,2
1,bookshelv,1
1,saw,2
1,map,1
1,hung,1
1,upon,4
1,peg,1
1,took,1
1,jar,2
1,one,8
1,shelv,1
1,pass,1
1,label,2
1,orang,1
1,marmalad,1
1,great,2
1,disappoint,1
1,empti,1
1,drop,1
1,fear,1
1,kill,1
1,somebodi,1
1,underneath,1
1,manag,2
1,put,2
1,past,1
1,tumbl,1
1,stair,1
1,brave,1
1,theyll,2
1,home,1
1,wouldnt,1
1,even,3
1,top,2
1,hous,1
1,true,1
1,_never_,1
1,end,2
1,mani,2
1,mile,2
1,ive,2
1,fallen,1
1,said,8
1,aloud,1
1,must,2
1,somewher,2
1,near,1
1,centr,1
1,earth,2
1,let,1
1,four,1
1,thousand,1
1,learnt,1
1,sever,3
1,thing,7
1,sort,3
1,lesson,1
1,schoolroom,1
1,though,2
1,good,3
1,opportun,1
1,show,1
1,knowledg,1
1,listen,2
1,still,2
1,practic,1
1,yes,1
1,that,2
1,right,4
1,distancebut,1
1,latitud,2
1,longitud,2
1,got,4
1,idea,1
1,nice,3
1,grand,1
1,word,4
1,present,1
1,began,3
1,_through_,1
1,funni,1
1,itll,2
1,among,2
1,peopl,4
1,walk,3
1,head,4
1,downward,1
1,antipathi,1
1,rather,3
1,glad,1
1,_was_,1
1,didnt,2
1,sound,1
1,ask,3
1,name,1
1,countri,1
1,know,3
1,pleas,1
1,maam,1
1,new,1
1,zealand,1
1,australia,1
1,curtsey,1
1,spokef,1
1,_curtseying_,1
1,your,1
1,air,2
1,ignor,1
1,littl,15
1,girl,1
1,shell,1
1,perhap,1
1,written,1
1,els,1
1,soon,4
1,talk,1
1,dinahl,1
1,miss,1
1,tonight,1
1,dinah,4
1,cat,5
1,hope,2
1,rememb,4
1,saucer,1
1,milk,1
1,teatim,1
1,wish,2
1,mice,1
1,im,1
1,afraid,1
1,might,4
1,catch,1
1,bat,6
1,mous,1
1,eat,8
1,dreami,1
1,sometim,2
1,couldnt,1
1,answer,1
1,question,1
1,matter,1
1,felt,2
1,doze,1
1,begun,2
1,dream,1
1,hand,3
1,earnest,1
1,tell,1
1,truth,1
1,ever,4
1,thump,2
1,came,3
1,heap,1
1,stick,1
1,dri,1
1,leav,2
1,bit,2
1,hurt,1
1,jump,1
1,overhead,1
1,long,4
1,passag,3
1,sight,1
1,lost,1
1,away,1
1,wind,1
1,turn,2
1,corner,2
1,ear,2
1,whisker,1
1,behind,2
1,longer,1
1,low,2
1,hall,4
1,lit,1
1,row,1
1,lamp,1
1,hang,1
1,roof,1
1,door,9
1,round,3
1,lock,3
