chapter_no,word,word_count
1,down,21
1,the,92
1,rabbit,9
1,hole,4
1,alice,27
1,was,53
1,beginning,1
1,to,75
1,get,7
1,very,23
1,tired,2
1,of,43
1,sitting,1
1,by,6
1,her,25
1,sister,2
1,on,15
1,bank,1
1,and,65
1,having,3
1,nothing,7
1,do,9
1,once,4
1,or,12
1,twice,1
1,she,79
1,had,20
1,peeped,1
1,into,9
1,book,4
1,reading,1
1,but,21
1,it,59
1,no,11
1,pictures,3
1,conversations,2
1,in,26
1,what,10
1,is,6
1,use,5
1,a,52
1,thought,8
1,without,2
1,so,14
1,considering,2
1,own,2
1,mind,2
1,as,14
1,well,6
1,could,8
1,for,21
1,hot,3
1,day,1
1,made,2
1,feel,2
1,sleepy,2
1,stupid,2
1,whether,2
1,pleasure,1
1,making,1
1,daisy,1
1,chain,1
1,would,7
1,be,13
1,worth,1
1,trouble,1
1,getting,3
1,up,12
1,picking,1
1,daisies,1
1,when,10
1,suddenly,5
1,white,2
1,with,11
1,pink,1
1,eyes,2
1,ran,2
1,close,2
1,her.,1
1,there,10
1,remarkable,1
1,that,25
1,nor,1
1,did,3
1,think,11
1,much,6
1,out,13
1,way,12
1,hear,2
1,say,5
1,itself,1
1,oh,4
1,dear,3
1,i,29
1,shall,5
1,late,2
1,over,2
1,afterwards,1
1,occurred,1
1,ought,1
1,have,2
1,wondered,1
1,at,11
1,this,13
1,time,8
1,all,10
1,seemed,3
1,quite,4
1,natural,1
1,actually,1
1,took,2
1,watch,2
1,its,4
1,waistcoat,2
1,pocket,2
1,looked,4
1,then,5
1,hurried,1
1,started,1
1,feet,2
1,flashed,1
1,across,2
1,never,5
1,before,5
1,seen,3
1,either,6
1,take,1
1,burning,1
1,curiosity,1
1,field,1
1,after,5
1,fortunately,1
1,just,3
1,see,10
1,pop,1
1,large,3
1,under,3
1,hedge.,1
1,another,3
1,moment,4
1,went,7
1,how,9
1,world,1
1,again.,4
1,straight,1
1,like,11
1,tunnel,1
1,some,1
1,dipped,1
1,not,16
1,about,8
1,stopping,1
1,herself,13
1,found,7
1,falling,2
1,deep,2
1,well.,1
1,fell,4
1,slowly,1
1,plenty,1
1,look,3
1,wonder,6
1,going,6
1,happen,2
1,next.,1
1,first,4
1,tried,5
1,make,2
1,coming,1
1,too,5
1,dark,3
1,anything,2
1,sides,1
1,noticed,2
1,they,4
1,were,8
1,filled,1
1,cupboards,2
1,shelves,2
1,here,4
1,saw,1
1,maps,1
1,hung,1
1,upon,4
1,pegs.,1
1,jar,2
1,from,3
1,one,9
1,passed,1
1,labelled,1
1,orange,1
1,marmalade,1
1,great,2
1,disappointment,1
1,empty,1
1,drop,1
1,fear,1
1,killing,1
1,somebody,1
1,underneath,1
1,managed,1
1,put,2
1,past,1
1,it.,3
1,such,3
1,fall,4
1,tumbling,1
1,stairs,1
1,brave,1
1,theyll,2
1,me,12
1,home,1
1,why,2
1,wouldnt,1
1,even,3
1,if,10
1,off,5
1,top,2
1,house,1
1,which,9
1,likely,1
1,true.,1
1,down.,2
1,come,3
1,an,2
1,end,2
1,many,2
1,miles,2
1,ive,2
1,fallen,1
1,said,8
1,aloud.,1
1,must,2
1,somewhere,1
1,near,1
1,centre,1
1,earth.,1
1,let,1
1,four,1
1,thousand,1
1,you,18
1,learnt,1
1,several,2
1,things,5
1,sort,3
1,lessons,1
1,schoolroom,1
1,though,2
1,good,3
1,opportunity,1
1,showing,1
1,knowledge,1
1,listen,1
1,still,2
1,practice,1
1,yes,1
1,thats,2
1,right,4
1,distancebut,1
1,latitude,2
1,longitude,2
1,got,4
1,idea,1
1,nice,3
1,grand,1
1,words,3
1,say.,1
1,presently,1
1,began,3
1,through,6
1,earth,1
1,funny,1
1,itll,2
1,seem,1
1,among,2
1,people,3
1,walk,1
1,their,2
1,heads,1
1,downward,1
1,antipathies,1
1,rather,3
1,glad,1
1,listening,1
1,didnt,2
1,sound,1
1,word,1
1,ask,2
1,them,2
1,name,1
1,country,1
1,know.,2
1,please,1
1,maam,1
1,new,1
1,zealand,1
1,australia,1
